line,model_id,prompt_usd_per_1m,completion_usd_per_1m,total_usd_per_1m,context_window_tokens,top_provider_context_window_tokens,is_free_tag
AI21 Jamba,ai21/jamba-large-1.7,2.000000,8.000000,10,256000,256000,no
Other,aion-labs/aion-1.0,4.000000,8.000000,12,131072,131072,no
Other,aion-labs/aion-1.0-mini,0.700000,1.400000,2.1,131072,131072,no
Other,aion-labs/aion-2.0,0.800000,1.600000,2.4,131072,131072,no
Other,aion-labs/aion-rp-llama-3.1-8b,0.800000,1.600000,2.4,32768,32768,no
Other,alfredpros/codellama-7b-instruct-solidity,0.800000,1.200000,2,4096,4096,no
Other,alibaba/tongyi-deepresearch-30b-a3b,0.090000,0.450000,0.54,131072,131072,no
Other,allenai/olmo-3-32b-think,0.150000,0.500000,0.65,65536,65536,no
Other,alpindale/goliath-120b,3.750000,7.500000,11.25,6144,6144,no
Amazon Nova,amazon/nova-2-lite-v1,0.300000,2.500000,2.8,1000000,1000000,no
Amazon Nova,amazon/nova-lite-v1,0.060000,0.240000,0.3,300000,300000,no
Amazon Nova,amazon/nova-micro-v1,0.035000,0.140000,0.175,128000,128000,no
Amazon Nova,amazon/nova-premier-v1,2.500000,12.500000,15,1000000,1000000,no
Amazon Nova,amazon/nova-pro-v1,0.800000,3.200000,4,300000,300000,no
Other,anthracite-org/magnum-v4-72b,3.000000,5.000000,8,16384,16384,no
Other,anthropic/claude-3-haiku,0.250000,1.250000,1.5,200000,200000,no
Other,anthropic/claude-3.5-haiku,0.800000,4.000000,4.8,200000,200000,no
Other,anthropic/claude-3.7-sonnet,3.000000,15.000000,18,200000,200000,no
Other,anthropic/claude-3.7-sonnet:thinking,3.000000,15.000000,18,200000,200000,no
Other,anthropic/claude-haiku-4.5,1.000000,5.000000,6,200000,200000,no
Other,anthropic/claude-opus-4,15.000000,75.000000,90,200000,200000,no
Other,anthropic/claude-opus-4.1,15.000000,75.000000,90,200000,200000,no
Other,anthropic/claude-opus-4.5,5.000000,25.000000,30,200000,200000,no
Other,anthropic/claude-opus-4.6,5.000000,25.000000,30,1000000,1000000,no
Other,anthropic/claude-opus-4.6-fast,30.000000,150.000000,180,1000000,1000000,no
Other,anthropic/claude-opus-4.7,5.000000,25.000000,30,1000000,1000000,no
Other,anthropic/claude-sonnet-4,3.000000,15.000000,18,1000000,1000000,no
Other,anthropic/claude-sonnet-4.5,3.000000,15.000000,18,1000000,1000000,no
Other,anthropic/claude-sonnet-4.6,3.000000,15.000000,18,1000000,1000000,no
Other,arcee-ai/coder-large,0.500000,0.800000,1.3,32768,32768,no
Other,arcee-ai/maestro-reasoning,0.900000,3.300000,4.2,131072,131072,no
Other,arcee-ai/spotlight,0.180000,0.180000,0.36,131072,131072,no
Other,arcee-ai/trinity-large-preview,0.150000,0.450000,0.6,131000,131000,no
Other,arcee-ai/trinity-large-thinking,0.220000,0.850000,1.07,262144,262144,no
Other,arcee-ai/trinity-mini,0.045000,0.150000,0.195,131072,131072,no
Other,arcee-ai/virtuoso-large,0.750000,1.200000,1.95,131072,131072,no
Other,baidu/cobuddy:free,0.000000,0.000000,0,131072,131072,yes
Other,baidu/ernie-4.5-21b-a3b,0.070000,0.280000,0.35,120000,120000,no
Other,baidu/ernie-4.5-21b-a3b-thinking,0.070000,0.280000,0.35,131072,131072,no
Other,baidu/ernie-4.5-300b-a47b,0.280000,1.100000,1.38,123000,123000,no
Other,baidu/ernie-4.5-vl-28b-a3b,0.140000,0.560000,0.7,30000,30000,no
Other,baidu/ernie-4.5-vl-424b-a47b,0.420000,1.250000,1.67,123000,123000,no
Other,baidu/qianfan-ocr-fast:free,0.000000,0.000000,0,65536,65536,yes
Other,bytedance-seed/seed-1.6,0.250000,2.000000,2.25,262144,262144,no
Other,bytedance-seed/seed-1.6-flash,0.075000,0.300000,0.375,262144,262144,no
Other,bytedance-seed/seed-2.0-lite,0.250000,2.000000,2.25,262144,262144,no
Other,bytedance-seed/seed-2.0-mini,0.100000,0.400000,0.5,262144,262144,no
Other,bytedance/ui-tars-1.5-7b,0.100000,0.200000,0.3,128000,128000,no
Other,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,0.000000,0.000000,0,32768,32768,yes
Cohere,cohere/command-a,2.500000,10.000000,12.5,256000,256000,no
Cohere,cohere/command-r-08-2024,0.150000,0.600000,0.75,128000,128000,no
Cohere,cohere/command-r-plus-08-2024,2.500000,10.000000,12.5,128000,128000,no
Cohere,cohere/command-r7b-12-2024,0.037500,0.150000,0.1875,128000,128000,no
Other,deepcogito/cogito-v2.1-671b,1.250000,1.250000,2.5,128000,128000,no
DeepSeek,deepseek/deepseek-chat,0.320000,0.890000,1.21,163840,163840,no
DeepSeek,deepseek/deepseek-chat-v3-0324,0.200000,0.770000,0.97,163840,163840,no
DeepSeek,deepseek/deepseek-chat-v3.1,0.150000,0.750000,0.9,32768,32768,no
DeepSeek,deepseek/deepseek-r1,0.700000,2.500000,3.2,64000,64000,no
DeepSeek,deepseek/deepseek-r1-0528,0.500000,2.150000,2.65,163840,163840,no
DeepSeek,deepseek/deepseek-r1-distill-llama-70b,0.700000,0.800000,1.5,131072,131072,no
DeepSeek,deepseek/deepseek-r1-distill-qwen-32b,0.290000,0.290000,0.58,32768,32768,no
DeepSeek,deepseek/deepseek-v3.1-terminus,0.270000,0.950000,1.22,163840,163840,no
DeepSeek,deepseek/deepseek-v3.2,0.252000,0.378000,0.63,131072,131072,no
DeepSeek,deepseek/deepseek-v3.2-exp,0.270000,0.410000,0.68,163840,163840,no
DeepSeek,deepseek/deepseek-v3.2-speciale,0.287000,0.431000,0.718,163840,163840,no
DeepSeek,deepseek/deepseek-v4-flash,0.140000,0.280000,0.42,1048576,1048576,no
DeepSeek,deepseek/deepseek-v4-pro,0.435000,0.870000,1.305,1048576,1048576,no
Other,essentialai/rnj-1-instruct,0.150000,0.150000,0.3,32768,32768,no
